species,date_collected,plot,sex,weight
DM,7/16/2013,2,F,-
DM,7/16/2013,7,M,33g
DM,7/16/2013,3,M,-
DM,7/16/2013,1,M,-
DM,7/18/2013,3,M,40g
DM,7/18/2013,7,M,48g
DM,7/18/2013,4,F,29g
DM,7/18/2013,6,F,37g
DO,8/19/2013,8,F,52g
DO,10/17/2013,3,F,33g
DO,10/17/2013,3,F,50g
DO,12/10/2013,9,F,40g
DO,12/10/2013,1,M,45g
DO,12/11/2013,8,F,41g
DS,11/12/2013,9,F,117g
DS,11/13/2013,11,F,126g
DS,11/13/2013,17,M,132g (scale not calibrated)
DS,11/13/2013,14,F,113g (scale not calibrated)
DS,11/13/2013,11,F,122g
DS,11/13/2013,4,F,107g
DS,11/13/2013,4,F,115g
DM,1/9/2014,1,M,40g
DM,1/9/2014,1,F,36g
DM,3/13/2014,1,F,51g
DM,3/13/2014,1,F,44g
DS,3/13/2014,1,F,146g
NA,1/8/2014,2,-,-
DM,1/8/2014,2,M,44g
PF,1/8/2014,2,F,7g
DM,1/8/2014,2,M,45g
OT,1/8/2014,2,-,-
DS,1/8/2014,2,M,157g (scale not calibrated)
OX,1/8/2014,2,-,-
NA,2/18/2014,2,M,218g (scale not calibrated)
PF,2/18/2014,2,F,7g
DM,2/18/2014,2,M,52g
PF,3/11/2015,3,M,8g
NA,4/8/2015,3,F,-
-,5/6/2015,3,-,-
NA,5/18/2015,3,F,182g
OT,6/9/2015,3,F,29g
NA,7/8/2015,3,F,115g
NA,7/8/2015,3,M,190g
DM,1/8/1978,4,F,37g
DM,1/8/1978,4,M,-
DM,1/8/1978,4,F,48g
DO,1/8/1978,4,M,52g
OL,1/8/1978,4,M,35g
